epoch,grad_norm,learning_rate,loss
0.04,3.78973388671875,4.999160884067051e-05,0.7249
0.08,6.760297775268555,4.96985092978261e-05,0.6542
0.12,3.974461555480957,4.899146773943374e-05,0.7198
0.16,4.892324924468994,4.7882334038869495e-05,0.6544
0.2,2.9858410358428955,4.6389697052407534e-05,0.639
0.24,3.240671157836914,4.4538573073752365e-05,0.655
0.28,3.474895715713501,4.2359986566020906e-05,0.6393
0.32,6.752331733703613,3.9890450198021704e-05,0.6173
0.36,4.000227928161621,3.717135289931774e-05,0.6349
0.4,3.89446759223938,3.42482661901463e-05,0.628
0.44,3.5422956943511963,3.117018041196585e-05,0.5837
0.48,4.019885540008545,2.7988683659251474e-05,0.5713
0.52,2.535315752029419,2.4757097173475572e-05,0.5645
0.56,2.7789623737335205,2.152958168989584e-05,0.5709
0.6,2.9705817699432373,1.836022971459737e-05,0.5713
0.64,3.0262703895568848,1.5302158945041838e-05,0.5906
0.68,2.477186441421509,1.2406622028211844e-05,0.5998
0.72,4.218779563903809,9.722147576623743e-06,0.5547
0.76,2.6092216968536377,7.293726838606674e-06,0.6104
0.8,3.793332576751709,5.162059654089083e-06,0.5145
0.84,2.6495351791381836,3.3628723335213885e-06,0.5372
0.88,5.298899173736572,1.926318892145712e-06,0.5683
0.92,4.728271961212158,8.764756748051662e-07,0.6014
0.96,3.4629735946655273,2.3093784127863062e-07,0.5964
1.0,4.426491737365723,5.244749650301639e-10,0.5357
