_step,train/loss,train/grad_norm,train/learning_rate
0,0.6925,4.998550891876221,4.999160884067051e-05
1,0.6245,7.384891510009766,4.96985092978261e-05
2,0.6809,3.9479925632476807,4.899146773943374e-05
3,0.6546,2.684110164642334,4.7882334038869495e-05
4,0.5932,2.6679718494415283,4.6389697052407534e-05
5,0.6441,3.3304693698883057,4.4538573073752365e-05
6,0.5883,4.497564792633057,4.2359986566020906e-05
7,0.651,3.1221635341644287,3.9890450198021704e-05
8,0.6675,3.9531056880950928,3.717135289931774e-05
9,0.6031,6.431249618530273,3.42482661901463e-05
10,0.5922,2.780010223388672,3.117018041196585e-05
11,0.5885,3.2657742500305176,2.7988683659251474e-05
12,0.5676,3.734272003173828,2.4757097173475572e-05
13,0.6004,4.629944324493408,2.152958168989584e-05
14,0.5588,2.513549566268921,1.836022971459737e-05
15,0.5888,4.406421661376953,1.5302158945041838e-05
16,0.5651,3.5167787075042725,1.2406622028211844e-05
17,0.5631,3.9302940368652344,9.722147576623743e-06
18,0.6023,3.0993540287017822,7.293726838606674e-06
19,0.5685,3.602842330932617,5.162059654089083e-06
20,0.5255,3.8965137004852295,3.3628723335213885e-06
21,0.5745,3.2821013927459717,1.926318892145712e-06
22,0.5752,3.3866989612579346,8.764756748051662e-07
23,0.6121,4.145057201385498,2.3093784127863062e-07
24,0.5805,3.5779495239257812,5.244749650301639e-10
