epoch,grad_norm,learning_rate,logits/chosen,logits/rejected,logps/chosen,logps/rejected,loss,rewards/accuracies,rewards/chosen,rewards/margins,rewards/rejected
0.04,8.762863159179688,4.999160884067051e-05,-1.6703624725341797,-1.7439258098602295,-347.13055419921875,-337.94879150390625,0.6789,0.5249999761581421,-0.000225672876695171,0.03685342147946358,-0.0370790921151638
0.08,13.593571662902832,4.96985092978261e-05,-2.1353490352630615,-2.0792720317840576,-371.41571044921875,-346.4541320800781,0.606,0.675000011920929,-0.2170363962650299,0.32118627429008484,-0.5382226705551147
0.12,13.67708969116211,4.899146773943374e-05,-2.1801300048828125,-2.2243480682373047,-365.542724609375,-322.9275817871094,0.6503,0.6156250238418579,-0.5570588111877441,0.2973620295524597,-0.8544208407402039
0.16,11.747416496276855,4.7882334038869495e-05,-2.1501433849334717,-2.106959104537964,-348.75201416015625,-342.92559814453125,0.5755,0.699999988079071,-0.29681557416915894,0.44623899459838867,-0.7430545091629028
0.2,9.627225875854492,4.6389697052407534e-05,-2.086303234100342,-2.1394784450531006,-358.82513427734375,-310.86065673828125,0.5884,0.715624988079071,-0.2925621271133423,0.5140351057052612,-0.8065972328186035
0.24,11.720656394958496,4.4538573073752365e-05,-2.0684521198272705,-2.08915376663208,-370.7611389160156,-338.86767578125,0.5731,0.699999988079071,-0.10717634856700897,0.5324484705924988,-0.6396248936653137
0.28,12.348703384399414,4.2359986566020906e-05,-2.243474245071411,-2.316884756088257,-359.418212890625,-323.6161804199219,0.5506,0.7093750238418579,-0.08413846790790558,0.6329239010810852,-0.7170623540878296
0.32,15.379071235656738,3.9890450198021704e-05,-2.242316722869873,-2.3054358959198,-355.59991455078125,-349.47247314453125,0.5599,0.731249988079071,-0.16269204020500183,0.6580649614334106,-0.8207570314407349
0.36,19.162376403808594,3.717135289931774e-05,-2.2914984226226807,-2.3066298961639404,-357.15728759765625,-347.27947998046875,0.597,0.65625,-0.1072453036904335,0.5354198813438416,-0.6426652073860168
0.4,12.094426155090332,3.42482661901463e-05,-2.2792086601257324,-2.3011138439178467,-338.9119873046875,-332.45098876953125,0.5362,0.721875011920929,-0.17313623428344727,0.757902979850769,-0.9310391545295715
0.44,13.219294548034668,3.117018041196585e-05,-2.192380666732788,-2.4254860877990723,-377.27386474609375,-333.21783447265625,0.5224,0.75,-0.7026775479316711,0.8284475207328796,-1.5311251878738403
0.48,13.801226615905762,2.7988683659251474e-05,-2.1510934829711914,-2.1743438243865967,-352.1571350097656,-353.86224365234375,0.5823,0.675000011920929,-0.7355173230171204,0.7671035528182983,-1.5026209354400635
0.52,8.905007362365723,2.4757097173475572e-05,-2.1333627700805664,-2.167032241821289,-336.4999084472656,-298.9697265625,0.5031,0.762499988079071,-0.33946871757507324,0.8453108668327332,-1.1847795248031616
0.56,9.584086418151855,2.152958168989584e-05,-2.1593210697174072,-2.215381145477295,-348.75921630859375,-318.6571044921875,0.5749,0.6875,-0.3158777952194214,0.6831651329994202,-0.9990429878234863
0.6,8.10952377319336,1.836022971459737e-05,-2.2492382526397705,-2.2048521041870117,-390.91864013671875,-355.91046142578125,0.51,0.734375,-0.3647184371948242,0.8805027008056641,-1.2452210187911987
0.64,14.128478050231934,1.5302158945041838e-05,-2.1441612243652344,-2.138601779937744,-322.48077392578125,-313.1556396484375,0.5223,0.7562500238418579,-0.3039338290691376,0.8648004531860352,-1.1687343120574951
0.68,11.7344388961792,1.2406622028211844e-05,-2.171984910964966,-2.2398502826690674,-345.97747802734375,-327.4368896484375,0.5768,0.6968749761581421,-0.3710244596004486,0.6869989633560181,-1.0580235719680786
0.72,11.817509651184082,9.722147576623743e-06,-2.1831958293914795,-2.1259703636169434,-351.4414978027344,-328.7402038574219,0.5261,0.7250000238418579,-0.43725061416625977,0.8033156394958496,-1.2405661344528198
0.76,10.903501510620117,7.293726838606674e-06,-2.1296324729919434,-2.1974575519561768,-369.3089904785156,-316.4855041503906,0.579,0.7250000238418579,-0.29536110162734985,0.6008841395378113,-0.8962451815605164
0.8,13.750995635986328,5.162059654089083e-06,-2.0793349742889404,-2.2235400676727295,-393.54412841796875,-348.2710876464844,0.5152,0.765625,-0.08620642125606537,0.8681426048278809,-0.9543489217758179
0.84,9.581780433654785,3.3628723335213885e-06,-2.197634220123291,-2.2401394844055176,-368.51434326171875,-320.1163635253906,0.5223,0.7718750238418579,-0.14383642375469208,0.912890613079071,-1.0567270517349243
0.88,9.678881645202637,1.926318892145712e-06,-2.1992597579956055,-2.218205690383911,-353.44708251953125,-335.69989013671875,0.538,0.746874988079071,-0.07269421964883804,0.8472097516059875,-0.9199040532112122
0.92,11.128019332885742,8.764756748051662e-07,-2.114138126373291,-2.1446175575256348,-365.10772705078125,-321.45355224609375,0.5231,0.746874988079071,-0.1653633415699005,0.7687762975692749,-0.934139609336853
0.96,16.382490158081055,2.3093784127863062e-07,-2.145341634750366,-2.257323741912842,-358.45159912109375,-311.6006774902344,0.5922,0.690625011920929,-0.2230425328016281,0.63145512342453,-0.8544976115226746
1.0,8.958307266235352,5.244749650301639e-10,-2.2359683513641357,-2.2406935691833496,-351.07232666015625,-337.1206970214844,0.5102,0.75,-0.11747296154499054,0.8967090845108032,-1.0141820907592773
