epoch,grad_norm,learning_rate,loss
0.04,5.269770622253418,1.5833333333333333e-05,0.793
0.08,5.832127571105957,3.2500000000000004e-05,0.6634
0.12,4.325718879699707,4.9166666666666665e-05,0.6724
0.16,4.6177263259887695,4.998816742574214e-05,0.657
0.2,3.9865427017211914,4.995015849428921e-05,0.6224
0.24,2.994164228439331,4.988598029196885e-05,0.6507
0.28,2.8005950450897217,4.979570013285286e-05,0.6287
0.32,5.04416036605835,4.967941270836127e-05,0.6282
0.36,3.556574583053589,4.953723998794413e-05,0.6499
0.4,3.1256048679351807,4.936933109115238e-05,0.5938
0.44,3.273571252822876,4.917586213123203e-05,0.5655
0.48,2.8817052841186523,4.895703603040572e-05,0.5752
0.52,2.5933890342712402,4.871308230703529e-05,0.5953
0.56,2.922086238861084,4.844425683488874e-05,0.589
0.6,2.3715455532073975,4.815084157476395e-05,0.6112
0.64,3.52592396736145,4.78331442787508e-05,0.5691
0.68,1.9901816844940186,4.749149816744164e-05,0.5867
0.72,2.1724648475646973,4.712626158042898e-05,0.6003
0.76,2.8437588214874268,4.673781760045669e-05,0.6027
0.8,3.927656412124634,4.6326573651619144e-05,0.5428
0.84,2.630415678024292,4.589296107202957e-05,0.5828
0.88,4.70877742767334,4.543743466140595e-05,0.5352
0.92,3.8874075412750244,4.496047220404891e-05,0.5783
0.96,3.1684775352478027,4.4462573967711984e-05,0.5792
1.0,3.273329496383667,4.39442621788898e-05,0.5568
1.04,2.802022933959961,4.3406080475074654e-05,0.5019
1.08,5.204385280609131,4.284859333455575e-05,0.4017
1.12,4.029229640960693,4.227238548435954e-05,0.5912
1.16,3.6659483909606934,4.167806128695173e-05,0.5108
1.2,6.561646461486816,4.106624410634456e-05,0.4678
1.24,3.2263052463531494,4.043757565427404e-05,0.4799
1.28,4.152451992034912,3.97927153171329e-05,0.4523
1.32,3.854003429412842,3.9132339464365374e-05,0.5583
1.36,3.613157272338867,3.845714073904905e-05,0.5508
1.4,9.543600082397461,3.7767827331407876e-05,0.466
1.44,3.2519261837005615,3.706512223601849e-05,0.4667
1.48,4.246419429779053,3.634976249348867e-05,0.489
1.52,4.978499889373779,3.5622498417403573e-05,0.4628
1.56,5.30455207824707,3.488409280735037e-05,0.4805
1.6,3.3917593955993652,3.41353201488468e-05,0.4453
1.64,7.472376823425293,3.337696580101286e-05,0.478
1.68,5.943678379058838,3.2609825172837496e-05,0.4819
1.72,4.483381748199463,3.183470288890442e-05,0.4427
1.76,3.3733203411102295,3.1052411945452034e-05,0.5038
1.8,6.805574893951416,3.0263772857652677e-05,0.4733
1.84,6.016486644744873,2.9469612799005457e-05,0.4338
1.88,3.8797197341918945,2.8670764733745507e-05,0.477
1.92,5.2476725578308105,2.786806654317955e-05,0.4656
