epoch,grad_norm,learning_rate,loss
0.04,4.998550891876221,4.999160884067051e-05,0.6925
0.08,7.384891510009766,4.96985092978261e-05,0.6245
0.12,3.9479925632476807,4.899146773943374e-05,0.6809
0.16,2.684110164642334,4.7882334038869495e-05,0.6546
0.2,2.6679718494415283,4.6389697052407534e-05,0.5932
0.24,3.3304693698883057,4.4538573073752365e-05,0.6441
0.28,4.497564792633057,4.2359986566020906e-05,0.5883
0.32,3.1221635341644287,3.9890450198021704e-05,0.651
0.36,3.9531056880950928,3.717135289931774e-05,0.6675
0.4,6.431249618530273,3.42482661901463e-05,0.6031
0.44,2.780010223388672,3.117018041196585e-05,0.5922
0.48,3.2657742500305176,2.7988683659251474e-05,0.5885
0.52,3.734272003173828,2.4757097173475572e-05,0.5676
0.56,4.629944324493408,2.152958168989584e-05,0.6004
0.6,2.513549566268921,1.836022971459737e-05,0.5588
0.64,4.406421661376953,1.5302158945041838e-05,0.5888
0.68,3.5167787075042725,1.2406622028211844e-05,0.5651
0.72,3.9302940368652344,9.722147576623743e-06,0.5631
0.76,3.0993540287017822,7.293726838606674e-06,0.6023
0.8,3.602842330932617,5.162059654089083e-06,0.5685
0.84,3.8965137004852295,3.3628723335213885e-06,0.5255
0.88,3.2821013927459717,1.926318892145712e-06,0.5745
0.92,3.3866989612579346,8.764756748051662e-07,0.5752
0.96,4.145057201385498,2.3093784127863062e-07,0.6121
1.0,3.5779495239257812,5.244749650301639e-10,0.5805
