epoch,grad_norm,learning_rate,loss
0.04,3.7754859924316406,4.999160884067051e-05,0.7016
0.08,6.714211940765381,4.96985092978261e-05,0.645
0.12,4.817608833312988,4.899146773943374e-05,0.6205
0.16,2.954308032989502,4.7882334038869495e-05,0.6745
0.2,3.716602087020874,4.6389697052407534e-05,0.6244
0.24,2.711317539215088,4.4538573073752365e-05,0.6259
0.28,7.57213020324707,4.2359986566020906e-05,0.6299
0.32,3.9530956745147705,3.9890450198021704e-05,0.6468
0.36,7.5651044845581055,3.717135289931774e-05,0.6179
0.4,4.883007049560547,3.42482661901463e-05,0.5979
0.44,2.8889007568359375,3.117018041196585e-05,0.6132
0.48,4.086736679077148,2.7988683659251474e-05,0.543
0.52,4.805658340454102,2.4757097173475572e-05,0.6587
0.56,4.449408054351807,2.152958168989584e-05,0.5592
0.6,4.048559665679932,1.836022971459737e-05,0.5965
0.64,3.1140193939208984,1.5302158945041838e-05,0.5398
0.68,4.8996076583862305,1.2406622028211844e-05,0.5437
0.72,4.784025192260742,9.722147576623743e-06,0.5641
0.76,3.254997730255127,7.293726838606674e-06,0.5921
0.8,3.604717254638672,5.162059654089083e-06,0.5763
0.84,5.842022895812988,3.3628723335213885e-06,0.5295
0.88,8.143752098083496,1.926318892145712e-06,0.5906
0.92,3.4413719177246094,8.764756748051662e-07,0.5604
0.96,4.557989120483398,2.3093784127863062e-07,0.5971
1.0,4.2285075187683105,5.244749650301639e-10,0.5406
